date,times,crime,location,disposition,location_geo,lat,long
2013-03-14,18:13:46,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-14,15:40:34,BURGLARY,317-D N COLLEGE ST,REPORT INITIATED,317-D N COLLEGE ST Cedar Falls Iowa,42.5396883,-92.4557251
2013-03-14,15:47:56,ASSAULT,209-A STATE ST,REPORT INITIATED,209-A STATE ST Cedar Falls Iowa,42.536487,-92.4444819
2013-03-15,16:51:57,LARCENY/THEFT/SHOPLIFTING,601 MAIN ST,REPORT INITIATED,601 MAIN ST Cedar Falls Iowa,42.532972,-92.445921
2013-03-15,21:10:00,LARCENY/THEFT/SHOPLIFTING,402 VIKING PLAZA DR,REPORT INITIATED,402 VIKING PLAZA DR Cedar Falls Iowa,42.4804486,-92.4443479
2013-03-16,15:06:07,LARCENY/THEFT/SHOPLIFTING,5925 UNIVERSITY AV,REPORT INITIATED,5925 UNIVERSITY AV Cedar Falls Iowa,42.512372,-92.429332
2013-03-16,14:50:46,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-16,0:11:14,ASSAULT,220 CLAY ST,REPORT INITIATED,220 CLAY ST Cedar Falls Iowa,42.536401,-92.447759
2013-03-16,12:49:05,LARCENY/THEFT/SHOPLIFTING,1400 STARVIEW DR,REPORT INITIATED,1400 STARVIEW DR Cedar Falls Iowa,42.506043,-92.461532
2013-03-18,9:00:00,Theft,Communications Art Center,Open,UNI,42.510885,-92.464664
2013-03-18,17:11:31,LARCENY/THEFT/SHOPLIFTING,420 E 11TH ST,REPORT INITIATED,420 E 11TH ST Cedar Falls Iowa,42.5286897,-92.4413632
2013-03-18,23:04:09,SHOOTING IN,3105 HUDSON RD,REPORT INITIATED,3105 HUDSON RD Cedar Falls Iowa,42.509201,-92.466176
2013-03-19,15:26:32,LARCENY/THEFT/SHOPLIFTING,2209 COLLEGE ST,REPORT INITIATED,2209 COLLEGE ST Cedar Falls Iowa,42.517431,-92.456178
2013-03-19,4:47:33,WEAPONS VIOLATIONS,1704 SUNNYSIDE DR,REPORT INITIATED,1704 SUNNYSIDE DR Cedar Falls Iowa,42.518335,-92.425872
2013-03-20,20:48:58,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-20,14:49:42,LARCENY/THEFT/SHOPLIFTING,214 VIKING PLAZA DR,REPORT INITIATED,214 VIKING PLAZA DR Cedar Falls Iowa,42.481582,-92.444288
2013-03-21,22:13:09,LARCENY/THEFT/SHOPLIFTING,700-536 W RIDGEWAY AV,REFERRED WITHIN DEPT,700-536 W RIDGEWAY AV Cedar Falls Iowa,42.46951,-92.4498606
2013-03-21,18:48:03,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-21,14:53:50,LARCENY/THEFT/SHOPLIFTING,402 VIKING PLAZA DR,REPORT INITIATED,402 VIKING PLAZA DR Cedar Falls Iowa,42.4804486,-92.4443479
2013-03-22,19:34:53,LARCENY/THEFT/SHOPLIFTING,809 E 18TH ST,REPORT INITIATED,809 E 18TH ST Cedar Falls Iowa,42.521074,-92.436901
2013-03-22,2:08:41,LARCENY/THEFT/SHOPLIFTING,1031-1 MAPLEWOOD DR,REPORT INITIATED,1031-1 MAPLEWOOD DR Cedar Falls Iowa,42.5091338,-92.4328518
2013-03-23,23:17:17,BURGLARY,700-521 W RIDGEWAY AV,REPORT INITIATED,700-521 W RIDGEWAY AV Cedar Falls Iowa,42.4695372,-92.4498566
2013-03-25,14:09:09,LARCENY/THEFT/SHOPLIFTING,2422 COLLEGE ST,REPORT INITIATED,2422 COLLEGE ST Cedar Falls Iowa,42.515206,-92.45539
2013-03-26,0:15:02,ASSAULT IN PROGRESS/JUST,618-4 E SEERLEY BLVD,REPORT INITIATED,618-4 E SEERLEY BLVD Cedar Falls Iowa,42.5157833,-92.4395563
2013-03-26,16:46:08,ASSAULT,5500 S MAIN ST,REPORT INITIATED,5500 S MAIN ST Cedar Falls Iowa,42.4884289,-92.444533
2013-03-26,18:30:14,BURGLARY,409 W 6TH ST,REPORT INITIATED,409 W 6TH ST Cedar Falls Iowa,42.533384,-92.45003
2013-03-28,22:04:38,BURGLARY,2517-2 ROYAL DR,EXTRA ATTENTION,2517-2 ROYAL DR Cedar Falls Iowa,42.5147823,-92.4353628
2013-03-28,14:30:00,Theft,Campbell Hall,Open,UNI,42.51718,-92.461573
2013-03-28,10:16:15,BURGLARY,807 E 18TH ST,REPORT INITIATED,807 E 18TH ST Cedar Falls Iowa,42.5214106,-92.437145
2013-03-28,8:34:35,LARCENY/THEFT/SHOPLIFTING,7401 UNIVERSITY AV,REPORT INITIATED,7401 UNIVERSITY AV Cedar Falls Iowa,42.511643,-92.447129
2013-03-28,13:53:47,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-03-28,16:08:32,LARCENY/THEFT/SHOPLIFTING,5520 WESTMINSTER DR,REPORT INITIATED,5520 WESTMINSTER DR Cedar Falls Iowa,42.488035,-92.451449
2013-03-29,17:33:58,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-03-29,16:05:09,BURGLARY,411 W VIKING RD,REPORT INITIATED,411 W VIKING RD Cedar Falls Iowa,42.484793,-92.449642
2013-03-30,20:41:00,Theft,Gallagher Bluedorn,Open,UNI,42.510885,-92.461005
2013-03-30,13:48:22,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
